Cluster,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0,1931.4966,0.8532,1883.0268,1217.3283,1352.2682,632.8078,0.5143,0.3001,0.2389,0.2279,3.1182,18.2818,5973.8603,2341.168,1187.0885,0.2453,11.2364
1,1637.1414,0.7745,1826.5051,1127.8058,772.2614,1125.7788,0.4813,0.6032,0.2982,0.1852,3.7188,22.0,8252.9459,2459.8962,1257.967,0.3151,9.6875
2,4494.2992,0.716,2142.5543,1898.3932,3826.3686,59.3551,716.0,0.1184,0.3171,0.1349,3.0,20.0,2878.1522,3409.1829,677.2863,0.2672,6.0
3,1958.3343,0.882,2265.3447,1419.5706,638.428,754.7673,0.4424,0.3783,0.5546,0.2133,5.3333,19.6774,4813.9797,3272.438,812.9114,0.3094,10.3871
